label,frame1,frame2,frame3
,economic,economic,economic
,capacity_and_resources,capacity_and_resources,capacity_and_resources
,morality,morality,morality
,fairness_and_equality,fairness_and_equality,fairness_and_equality
,legality_constitutionality_and_jurisprudence,legality_constitutionality_and_jurisprudence,legality_constitutionality_and_jurisprudence
,policy_prescription_and_evaluation,policy_prescription_and_evaluation,policy_prescription_and_evaluation
,crime_and_punishment,crime_and_punishment,crime_and_punishment
,security_and_defense,security_and_defense,security_and_defense
,health_and_safety,health_and_safety,health_and_safety
,quality_of_life,quality_of_life,quality_of_life
,cultural_identity,cultural_identity,cultural_identity
,public_opinion,public_opinion,public_opinion
,political,political,political
,external_regulation_and_reputation,external_regulation_and_reputation,external_regulation_and_reputation
Compassionate approach to criticism and ridicule needed to empower people.,morality,policy_prescription_and_evaluation,
Protecting non-smokers from second-hand smoke.,quality_of_life,health_and_safety,
Obese people potentially blocking escape routes in emergency situations.,health_and_safety,quality_of_life,
Regular physical activity to counteract sedentary lifestyle.,health_and_safety,quality_of_life,
"Punishment as a response to crime debated, with consideration of morality, severity, and aims.",crime_and_punishment,morality,
Pros and cons of voluntary registration.,policy_prescription_and_evaluation,,
Leaked shield files reveal lack of security and trustworthiness.,security_and_defense,,
Systems of male-dominated power and privilege.,fairness_and_equality,,
Victim-blaming debate on police brutality.,morality,quality_of_life,
Complexities of food choices and their effects on health.,health_and_safety,quality_of_life,
Golden rice are complex and varied.,,,
Safety of gun ownership and accuracy.,health_and_safety,,
Questioning the use of intelligence as a measure of worth.,morality,policy_prescription_and_evaluation,
Destruction of animal populations disrupts the natural cycle and has long-term consequences for humans and other species.,morality,quality_of_life,
Complexities of morality and ethical consideration.,morality,,
Potential consequences of us intervention in ukraine.,external_regulation_and_reputation,political,
Implications of us involvement in nato and its allies.,external_regulation_and_reputation,political,
Discussing the economic and legal implications of allowing people to enter the us.,economic,legality_constitutionality_and_jurisprudence,
Government's ability to keep secrets.,political,,
Economics and risk mitigation.,economic,,
Consequences of not being able to declare bankruptcy on student loans.,economic,quality_of_life,
Alternative job paths and educational opportunities to increase wages.,quality_of_life,economic,
"Os x allows apps to be saved and resumed without user interaction, making it easier to switch between apps.",quality_of_life,,
Pros and cons of different operating systems' window management features.,policy_prescription_and_evaluation,quality_of_life,
Lack of diversity in the tech industry and its effects.,fairness_and_equality,quality_of_life,
"A grown man, a brilliant scientist, crying in public due to criticism of his choices.",public_opinion,,
Gender disparity in stem fields leading to systematic discouragement of women.,fairness_and_equality,quality_of_life,
Offensive language and its implications on different groups discussed.,quality_of_life,morality,
Merits of competitive gaming as a sport.,quality_of_life,,
Subjective human construct of competitive activities for entertainment.,quality_of_life,,
Low physical exertion sports requiring skill and physical prowess.,quality_of_life,capacity_and_resources,
Relevance of sexual history in rape cases.,legality_constitutionality_and_jurisprudence,,
"A mysterious character with a rocket on his back, who is beloved despite his lack of screen time.",public_opinion,,
Innovative gun reloading method using recoil energy.,,,
Controversial release of video footage to influence public opinion.,public_opinion,,
Unique black american culture distinct from white american culture.,cultural_identity,,
Safety of abortion versus risk of death.,health_and_safety,,
"Moral power should be used to protect the good, not rationalized by those who seek to use it.",morality,,
Complexities of interracial dating.,cultural_identity,quality_of_life,
Complexities of race and its effects on society.,cultural_identity,quality_of_life,
"Depression is a complex and difficult illness to diagnose and treat, with many potential treatments and consequences.",health_and_safety,quality_of_life,
"Selfish act of personal escape, but not necessarily wrong.",morality,,
"Gradual societal progress towards a more liberal and accommodating view, with potential chaos in the transition.",policy_prescription_and_evaluation,,
Complexities of relationships and their potential outcomes.,quality_of_life,,
New ways to monetize digital content while maintaining quality.,economic,,
Clear communication and mutual consent for sexual activity.,quality_of_life,morality,
Possibility of external objects existing without an ultimate authority.,,,
"Society and businesses must cooperate to create a workable system, but the pursuit of money can be pathological and businesses must abide by basic rules of society.",morality,policy_prescription_and_evaluation,
Societal existence relies on people having children.,quality_of_life,policy_prescription_and_evaluation,
"Unfairly treating people differently based on their race, gender, national origin, etc.",fairness_and_equality,,
Human nature and its implications on society.,quality_of_life,,
Moneyed interests influencing politics disproportionately.,political,economic,
Complex medical procedures requiring specialist care with limited access and varying standards of care.,health_and_safety,,
"Safety, accessibility, and affordability of abortion procedures.",health_and_safety,,
Potential appeal of a political candidate.,public_opinion,political,
Complexities of gender identity and its implications.,cultural_identity,morality,
A generational comparison of the financial struggles of buying a house.,capacity_and_resources,economic,
Government regulation of telecommunications infrastructure and services.,political,,
Exploiting the system without paying for it.,economic,morality,
Implications of ad blocking and the potential solutions to the issue.,morality,policy_prescription_and_evaluation,
Gender-based double standards in society.,cultural_identity,morality,
Powerful military technology making infantry obsolete in war.,security_and_defense,policy_prescription_and_evaluation,
Victims not given the opportunity to voice their grievances.,morality,quality_of_life,
Permanently altering a child's body without their consent for aesthetic reasons.,morality,health_and_safety,
Consequences of suboptimal equilibriums in economic systems.,economic,policy_prescription_and_evaluation,
Implications of unequal pay in the service industry.,fairness_and_equality,economic,
Complexities of server wages and customer expectations.,economic,quality_of_life,
Assessing knowledge and ability in a controlled environment.,capacity_and_resources,,
Labeling people as sjw to discredit their views on social justice.,morality,,
Potential awkwardness of sharing public restroom facilities with members of the opposite gender.,quality_of_life,policy_prescription_and_evaluation,
Appropriateness of short shorts for different ages.,quality_of_life,policy_prescription_and_evaluation,
Boundaries of societal appropriateness.,quality_of_life,policy_prescription_and_evaluation,
Privatized water access creates a tiered system of quality and cost.,policy_prescription_and_evaluation,economic,
Two separate double standards creating unfairness.,fairness_and_equality,,
Gender roles and expectations are socially constructed and changing.,public_opinion,quality_of_life,
"Motivating wealth creation for societal benefit, while avoiding unethical acquisition.",morality,quality_of_life,
High-frequency trading used by hedge funds to increase liquidity in the stock market.,economic,,
"Experiences of street harassment vary widely, with some people never experiencing it and others facing dangerous situations.",quality_of_life,morality,
Urban street safety varies by neighborhood.,health_and_safety,,
Value of perfect scores in the college admissions process.,fairness_and_equality,morality,
Unfairness in the face of unequal opportunity.,fairness_and_equality,morality,
Cost of housing in various parts of the us and abroad.,economic,quality_of_life,
Transition to automated economy causing fear of job loss and inequality.,fairness_and_equality,economic,
Living off of lower middle class investments with a family of four.,quality_of_life,economic,
"Power disparity between genders, with men holding most positions of power.",fairness_and_equality,morality,
Women's reproductive rights and healthcare access under attack.,health_and_safety,legality_constitutionality_and_jurisprudence,
Racial disparities in crime rates and poverty levels.,fairness_and_equality,quality_of_life,
Trust-based voting system with potential for manipulation and lack of transparency.,policy_prescription_and_evaluation,,
Majority opinion driving social change.,public_opinion,fairness_and_equality,
Violent suppression of native american populations for centuries leading to a lack of advocacy and rights.,fairness_and_equality,morality,
Never again: jewish survival in a post-holocaust world.,quality_of_life,cultural_identity,
Conflicting opinions on regional identity and lifestyle.,cultural_identity,quality_of_life,
Working hard for a short time to set up a better future.,quality_of_life,economic,
Opposition to additional voting requirements to prevent corruption and disenfranchisement.,political,fairness_and_equality,
Rewarding work for the benefit of society.,quality_of_life,policy_prescription_and_evaluation,
Quality of care in child rearing is essential for secure attachment.,quality_of_life,policy_prescription_and_evaluation,
Morality of infant male circumcision.,morality,,
Making a decision to modify a child's body without their consent for non-medical reasons.,morality,,
Morality of murder.,morality,,
Subjective nature of happiness and utility as moral goods.,morality,,
Resistance to regulation of ride-sharing services leading to unequal standards.,fairness_and_equality,morality,
Targeting specific injustices to repair current effects of past wrongs.,policy_prescription_and_evaluation,,
Potential government reimbursement for past injustices and its implications.,policy_prescription_and_evaluation,morality,
Voting with your dollars to support or abstain from products to send a message.,economic,policy_prescription_and_evaluation,
"Differences between accomplishment and fulfillment, and how to measure them.",quality_of_life,,
Protection against malicious attacks through proper security measures.,security_and_defense,,
"Celebrating a special day with loved ones, regardless of their differences.",fairness_and_equality,morality,
Examining irrational prejudice and intolerance.,morality,fairness_and_equality,
Comparing the destructive power of weapons from muskets to tanks.,capacity_and_resources,,
Contradictory notions of closely related concepts.,,,
Expensive military hardware versus cheaper drones in terms of cost and risk.,economic,capacity_and_resources,
Efficient yet disconnected destruction caused by drones.,morality,capacity_and_resources,
Potential transformation of an acorn into an oak tree.,,,
Complexities of defining a human being.,,,
Rights and obligations of individuals regarding their own bodies and those of others.,morality,fairness_and_equality,
Hope for the recovery of lost items.,quality_of_life,,
Pros and cons of democracy and its various forms.,policy_prescription_and_evaluation,,
Interdependent social relationships between small groups of people.,cultural_identity,quality_of_life,
Encouraging healthy habits without shaming or pressuring people to lose weight.,health_and_safety,morality,
Complexities of sexual orientation and attraction.,quality_of_life,,
Brain development continues until mid-late 20s.,,,
Beer from around the world.,,,
Enhanced driving awareness and control.,quality_of_life,health_and_safety,
Fighting for the weak and vulnerable despite the odds.,morality,fairness_and_equality,
Reducing access to suicide methods to save lives.,health_and_safety,quality_of_life,
Expensive and dangerous process of retrieving and cleaning up bodies from rivers.,health_and_safety,economic,
Potentially fatal consequences of taking too much acetaminophen.,health_and_safety,,
Religious scientists making major contributions to the world despite majority of scientists being agnostic atheists.,policy_prescription_and_evaluation,cultural_identity,
Unknowable nature of a higher power.,,,
Questioning one's own senses in the face of conflicting evidence.,,,
Implications of wearing a burqini.,cultural_identity,,
Complexities of gender equality and choice.,fairness_and_equality,quality_of_life,
Radical hypotheses to further scientific discovery.,policy_prescription_and_evaluation,,
Different types of love and their implications.,quality_of_life,,
Agreed-upon servitude as a form of debt repayment.,economic,morality,
Complexities of sexuality and choice.,quality_of_life,fairness_and_equality,
Importance of the 2nd amendment and the implications of gun ownership in a democracy.,legality_constitutionality_and_jurisprudence,political,
Challenges of commuting to work without a car.,quality_of_life,capacity_and_resources,
Importance of communication and its various forms.,quality_of_life,policy_prescription_and_evaluation,
Threat of violence as a form of self-defense to prevent harm.,health_and_safety,morality,
Potential corruption of some native canadian bands and the need for transparency.,morality,,
Lawyers protecting the accused to ensure justice is served.,legality_constitutionality_and_jurisprudence,crime_and_punishment,
Not guilty verdict despite overwhelming evidence.,crime_and_punishment,,
Outstanding lawyering leading to an acquittal of a guilty murderer.,crime_and_punishment,,
"Collective ownership of production for the betterment of society, with workers profiting from the sale of their labor.",policy_prescription_and_evaluation,quality_of_life,
Success of socialism in various countries.,policy_prescription_and_evaluation,,
Voting in the us is allowed regardless of age or registration status.,fairness_and_equality,quality_of_life,
Highly technical military occupation requiring experienced personnel with majority of positions being non-combat.,capacity_and_resources,,
Physical fitness tests measure upper body strength and running ability for military service.,capacity_and_resources,,
Physical strength and endurance needed for modern combat.,capacity_and_resources,,
